customer_tweet_id,customer_text,historical_brand_reply,predicted_intent,confidence,best_similarity,retrieved_count,action,decision_reason,retrieved_reply
110892,"@140666 @115858 @115888 For keyboard controls if something else claimed them first - eg a YouTube tab - it won’t work. If you launch Spotify first they should work. For spotlight, there’s a history of problems. Do you use multiple accounts? It used to do that for me but then I switched to just one.",@140665  We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,account_or_billing_issue,0.2798,1.0,3,ESCALATE,Sensitive or unresolved issue,@140665  We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
827576,I’m so tired of this glitchy iPhone. Seriously.  @AppleSupport !!! Y’all need to fix iOS 11,@127206 We want to help. What issues are you having with your iPhone?,software_update_issue,0.6795,1.0,7,AUTO-HANDLE,High-confidence historical match,@127206 We want to help. What issues are you having with your iPhone?
1699846,@AppleSupport please fix this I️ A Box thing!!!!,@515489 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,information_or_how_to,0.4166,0.5676,3,ESCALATE,Low intent confidence,@503754 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2367818,"Hey @AppleSupport this doesn't look right. Available 230pm today, but can't book appt until 340pm Thursday? That's wrong by two days... https://t.co/AJXlNVTWbO",@275565 We can look into this for you. DM us the details here: https://t.co/GDrqU22YpT,general_support,0.2331,0.3379,17,ESCALATE,Intent is too broad or unclear,@201089 You are right to question this message. Here's how to report spam or junk messages: https://t.co/rYxZGDk3Lz
323034,@AppleSupport The WiFi always disconnected after lock screen and again go to settings to turn on WiFi.So annoying in low power mode.,@192948 We'd like to look more into what you are seeing with your iPhone. Could you join us in DM to get started? https://t.co/GDrqU22YpT,connectivity_issue,0.9055,0.415,4,AUTO-HANDLE,High-confidence historical match,@213902 Got it. Have you tried restarting your device?
1142417,"@115858 the next time my iPhone glitches, I'm going to hit it with a hammer, throw the pieces into a deep fryer and buy an Android","@388897 Please reply by DM, and tell us more about what you're experiencing. We're here to help. https://t.co/GDrqU22YpT",other,0.309,1.0,9,ESCALATE,Intent is too broad or unclear,"@388897 Please reply by DM, and tell us more about what you're experiencing. We're here to help. https://t.co/GDrqU22YpT"
1762988,"@AppleSupport DM, you all never respond to DMs",@273592 We've received your DM and look forward to working with you there. https://t.co/GDrqU22YpT,general_support,0.3827,0.4665,6,ESCALATE,Intent is too broad or unclear,@424577 Thanks for reaching out. Our applications support team will be happy to assist you. Reach out here: https://t.co/IBIY3vMgPj
862780,@AppleSupport DM me.,@324866 We'll be happy to work with you in DM. Go ahead and DM us which device and iOS version you're using. https://t.co/GDrqU22YpT,information_or_how_to,0.4099,1.0,13,ESCALATE,Low intent confidence,"@211654 Sure, just click the link below and message us. It's private messaging. https://t.co/GDrqU22YpT"
1015297,"@TwitterSupport @AppleSupport What's wrong with the Twitter Russian keyboard in iOS 11 on iPad? Numbers 8, 9, 0, can I pls have them? https://t.co/zUBeiUnQA6",@360222 Does this only happen in one app? Let us know in Direct Message and we'll help out. https://t.co/GDrqU22YpT,software_update_issue,0.3926,0.2828,6,ESCALATE,Low intent confidence,@477471 Please DM us so that we can continue to look into this together. https://t.co/GDrqU22YpT
1588165,"@115858 @AppleSupport c’est quoi vos mise a jour pourrit la !! Depuis ios11, tout bug 😡😡😡 c’est lent",@488452 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_support,0.35,0.4552,12,ESCALATE,Intent is too broad or unclear,@470953 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1745991,thank you @115858 for making such a shitty phone that decides to fail my FT call with Katie at least 7000 times a day.,@526416 We want to make sure your FaceTime calls work as expected so you can stay in touch. What is your current iOS version?,performance_freezing,0.2432,1.0,4,ESCALATE,Device-specific troubleshooting required,@526416 We want to make sure your FaceTime calls work as expected so you can stay in touch. What is your current iOS version?
157768,"@AppleSupport Thank you for your answer. I am using iPad mini 2, with iOS 11.1.2.","@152253 Thanks for getting back to us with that information. While the new features are unalterable, we always appreciate hearing feedback. You can submit yours more formally by visiting this link:
https://t.co/oWzjJxkvlC",software_update_issue,0.6858,0.4234,1,AUTO-HANDLE,High-confidence historical match,@453716 We'd like to help! Send us a DM and let us know what's going on with your iPad. https://t.co/GDrqU22YpT
2205749,@AppleSupport Any way to check the overall battery health of my iPhone 6s?,@644916 We're glad you reached out. Battery life is essential to your iPhone experience. Let's look into some options together. DM us to get started. https://t.co/GDrqU22YpT,battery_issue,0.8164,0.9598,20,AUTO-HANDLE,High-confidence historical match,@322540 We are here to help. DM us your current iOS version and we can take a look at this. https://t.co/GDrqU22YpT
2042580,@AppleSupport Calender is appearing like this. https://t.co/fvw4jzhl4o,@604008 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,general_support,0.2641,0.4037,6,ESCALATE,Intent is too broad or unclear,@589866 Thanks for reaching out for help with the update. Please meet us in DM and we'll see how we can best help. https://t.co/GDrqU22YpT
1146059,#Apple software 11.0.1 to 11.0.3 updates has just ruined my #iPhone5s 😡😡😡😡 thanks a lot Apple @AppleSupport @115858,@389744 What's going on with your iPhone? DM us the details and we'll work together to get things sorted. https://t.co/GDrqU22YpT,software_update_issue,0.5003,0.677,4,ESCALATE,Low intent confidence,@335081 We'd love to help. Does the device power on? What do you mean by ruined? Send us a DM. https://t.co/GDrqU2kzhr
1519925,Mucho emoticono nuevo en la nueva actualización pero lo de intentar arreglar el problema de la batería no eh @115858 @62567,@472519 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,general_support,0.2475,1.0,12,ESCALATE,Intent is too broad or unclear,@472519 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
952563,Anyone else having issues with their #iphone? What’s up @AppleSupport @115858?,@345997 We're here to help. Tell us in detail what issue are you currently having with your iPhone.,general_support,0.2022,1.0,3,ESCALATE,Intent is too broad or unclear,@345997 We're here to help. Tell us in detail what issue are you currently having with your iPhone.
1671242,@115858 fix my phone from turning « I️ » into I️,@508707 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other,0.7894,1.0,17,ESCALATE,Intent is too broad or unclear,@508707 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1924688,"@AppleSupport The toggle is missing both on my 1st gen. iPad Air running iOS 11.1.1 and on my 1st gen. iPad Pro 12.9 running iOS 11.2 public beta. Annoyingly, the feature is enabled. However, I don‘t want everybody with phys. access to my devices to send messages in my name.",@572888 Thanks for the additional information. Let's take a closer look into this in DM. Send us a message and we will follow up there. https://t.co/GDrqU22YpT,software_update_issue,0.5903,0.3246,14,ESCALATE,Low intent confidence,@143483 Thanks for letting us know. Please DM us and we'll continue this conversation there. https://t.co/GDrqU22YpT
73398,@AppleSupport version - 11.1.1(15B150),"@132417 Since you're running an older version of iOS, we recommend updating to iOS 11.1.2 and seeing if the behavior persists. Prior to doing so, we encourage you to create a data backup. Here's an article to help you create one: https://t.co/4f8hwT5to6",general_support,0.4944,0.9183,15,ESCALATE,Intent is too broad or unclear,@120631 Thanks! We'll want to get your iPhone updated to iOS 11.1.2. Here's how: https://t.co/80YRnjDFDk
1513910,Erm boys it won’t let me play it 😟😟😭😭 @62210 @115948 @AppleSupport I brought it and this happened 😭😭 https://t.co/pKXchsK70s,@471277 We want to help you enjoy your new album. Join us in DM and we'll look into this together. https://t.co/GDrqU22YpT,information_or_how_to,0.2198,1.0,9,ESCALATE,Low intent confidence,@471277 We want to help you enjoy your new album. Join us in DM and we'll look into this together. https://t.co/GDrqU22YpT
2292806,@AppleSupport @115858 no I don’t think so. The last time I sent a private message I was treated like an idiot. I want to know why I’ve had nothing but problems with my phone since you came out with iOS 11. WHY? I will not buy another Apple product.,"@192785 We understand your concerns with these issues, and would like to look closer into what's going on. If you'd like to continue, reach out to us in DM using the link below and we'll continue from there. https://t.co/GDrqU22YpT",software_update_issue,0.3404,0.2771,3,ESCALATE,Low intent confidence,@159620 We'd be happy to assist. Let us know in DM the issues you're experiencing and we'll continue from there. https://t.co/GDrqU22YpT
2555448,"@AppleSupport Yes, it works in Safari. Just checked. And also checked with another friend with Apple Music subscription (iPhone 7 Plus, iOS 11.1.1). She cannot play videos on cellular data in Apple Music too. Wi-fi works for her as for me.",@725647 Let's check a couple settings. Please go to Settings &gt; Cellular is Music enabled? In Settings &gt; Music we want to make sure Cellular Data is also on here. Please DM us the results. https://t.co/GDrqU22YpT,software_update_issue,0.3467,0.3207,7,ESCALATE,Low intent confidence,@390757 Thanks so much. We'd like to review a few more options with you. Please meet up with us in DM so we can better assist you. https://t.co/GDrqU22YpT
188298,"@AppleSupport i bought a new i phone6 and when I am activating it this following message appeared ""sim card not support "" what to do",@160183 We want you to be able to use your new iPhone. Let's start here: https://t.co/ywHIZGN4Ac,information_or_how_to,0.2769,0.3348,4,ESCALATE,Low intent confidence,@234437 Please DM us so that we can look into this together. https://t.co/GDrqU2kzhr
1028428,@AppleSupport I have iOS 11.0.3 and iPhone 6s Plus. It won’t let me download apps and says I can’t sign into iTunes,@363337 Do you receive an error that you’re unable to connect to iTunes or something else? What happens when you try to download an app?,software_update_issue,0.4865,0.4437,13,ESCALATE,Low intent confidence,@753081 Got it. DM us the country you're located in and we'll continue to look into this. https://t.co/GDrqU22YpT
36074,@applesupport is it possible to modify force touch actions on my Mac? For example make force touch click open a new tab.,@123845 Hey there. We'll be happy to answer that. Check out more about Force Touch here: https://t.co/bvCxuuAG7f,device_functionality_issue,0.314,1.0,8,ESCALATE,Device-specific troubleshooting required,@123845 Hey there. We'll be happy to answer that. Check out more about Force Touch here: https://t.co/bvCxuuAG7f
2646270,"@AppleSupport Hi, I need some PROPER help in regards to the iOS 11.1 and my Twitter notifications.",@746609 Hello there. We'd like to see how we can help with what's going on here. Could you provide us with more information?,software_update_issue,0.5607,0.2574,6,ESCALATE,Low intent confidence,"@645453 Got it, thanks! Going forward, we'd like to have you take a look at the steps listed here, https://t.co/KyywFa9iZ3 does your iPhone show this message? DM us the answer below. https://t.co/GDrqU22YpT"
97045,So I just got an electric shock in my ear from my earphones and now I can’t hear out of it @AppleSupport 🤔,@137184 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,general_support,0.2279,1.0,6,ESCALATE,Intent is too broad or unclear,@137184 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
1503987,İyi IphoneKarahisar yasmamışsınız @AppleSupport https://t.co/vMfnMTJtoH,@469080 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_support,0.6316,1.0,20,ESCALATE,Intent is too broad or unclear,@210712 We'd like to look into this further. Please click here to connect with us in DM. We'll continue there: https://t.co/GDrqU22YpT
1508008,@AppleSupport im having an allergic reaction to Apple Watch 3. Do u have any with no metals. Dial included?,@176403 We'd like to look into this with you. Please click here to join us in DM: https://t.co/GDrqU22YpT,information_or_how_to,0.2272,0.2434,3,ESCALATE,Low intent confidence,"@142817 Thanks for the screenshot. If the charger is disconnected does your iPhone stay powered on? If so, after a normal restart does the percentage remain at 1% or show full as expected?"
2382843,@AppleSupport You means that there is only two-factor authentication now instead of two-factor verification.,@686918 There are two options for additional account security. You can use either two-step verification or two-factor authentication. The article in our previous response is for two-factor authentication. Here is more info for two-step verification: https://t.co/aEJrmh15Pc,account_or_billing_issue,0.2883,0.6365,7,ESCALATE,Low intent confidence,@534189 DM us so we can look into this further with you. https://t.co/GDrqU22YpT
951900,@AppleSupport On the day of  release of iPhone x is it first come first serve at the Apple store or we go to our carrier or is it only preorder on 27th,@337451 Great question! You'll be able to pre-order the iPhone X starting on October 27. Check out https://t.co/lzeawymxcf for details.,general_support,0.2315,1.0,3,ESCALATE,Intent is too broad or unclear,@337451 Great question! You'll be able to pre-order the iPhone X starting on October 27. Check out https://t.co/lzeawymxcf for details.
847067,@AppleSupport sort out this IOS11 nonsense! Soo many bugs and the updates dont work for them! 😡😡,@321309 What kind of issues are you having with the iOS update? Let us know so we can help out.,software_update_issue,0.3172,1.0,6,ESCALATE,Low intent confidence,@321309 What kind of issues are you having with the iOS update? Let us know so we can help out.
2747304,"@AppleSupport hello there, can you help me to check this email? Because i guest someone trying to use my apple id. The facts are i'm not in China and i'm not using  iPhone 7 like mentions in that email. Can you help me? Thanks https://t.co/33Qp9lYIXT",@769286 You did the right thing by reaching out to us. The email appears to be a phishing attempt. Check out this link to learn more: https://t.co/LNMCdqt6fD https://t.co/GDrqU22YpT,account_or_billing_issue,0.6177,0.2754,6,ESCALATE,Sensitive or unresolved issue,@755226 We're here to help. Let's get you connected to one of our Account Security team. Click here: https://t.co/UJm15vmMM2
587056,"@AppleSupport In your language : spending more time to upgrade #iOs11 than using my iPhone which is now unusable due to this OS release. iPhone 8 order cancelled, no confidence in Apple right now.",@258649 We'd like to look into the issue you're experiencing. Send us a DM letting us know exactly what's happening with your iPhone. We'll continue there. https://t.co/GDrqU22YpT,performance_freezing,0.1844,0.1813,3,ESCALATE,Device-specific troubleshooting required,@591015 Let us help troubleshoot your iPhone. Reach out to us in DM with more details about your device and we'll go from there. https://t.co/GDrqU22YpT
1656166,WHY IS THIS HAPPENING @AppleSupport https://t.co/WPpaKYSD6O,@505378 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,information_or_how_to,0.5011,1.0,10,ESCALATE,Low intent confidence,@505378 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2736389,Updated my phone and still seeing boxes 🤬 @115858,"@766813 We can help. Can you let us know more about the issue you're seeing? 

Are you seeing the boxes on messages and posts from other people, or your own?",software_update_issue,0.8044,0.7675,18,AUTO-HANDLE,High-confidence historical match,@447672 We're here to help you as much as we can. Shoot us a DM and let's get started. https://t.co/GDrqU22YpT
335288,@AppleSupport @115858 iphone 7 repeatedly freezing and randomly switching off since update?? Anyone else with the same problem??,@195925 We'd like to help. Is your iPhone freezing while using a particular app? Let us know in DM. https://t.co/GDrqU22YpT,software_update_issue,0.7521,0.2681,7,ESCALATE,Low historical similarity,"@326323 Thanks for the update! To continue, DM us what model iPhone and iOS version you're using (found in Settings &gt; General &gt; About) https://t.co/GDrqU22YpT"
50070,@AppleSupport 😰,@127212 We'd like to help any way we can over Twitter. Please DM us the country you're located in here: https://t.co/GDrqU22YpT,general_support,0.574,1.0,19,ESCALATE,Intent is too broad or unclear,@119047 Do you have any third party keyboard apps installed on your device?
1372805,@applesupport my iphone SE camera has been acting up lately?,@439503 We're here for you. Can you provide details on what's going on with the camera?,device_functionality_issue,0.397,1.0,1,ESCALATE,Device-specific troubleshooting required,@439503 We're here for you. Can you provide details on what's going on with the camera?
1267181,@115858 @AppleSupport iPhone X has wireless charger in the box or need to buy separately ?,"@142826  Wireless charger is not included with iPhone X. Please check this out: https://t.co/ngwnmNILIr
under ""In the Box"".",battery_issue,0.442,1.0,4,ESCALATE,Low intent confidence,"@142826  Wireless charger is not included with iPhone X. Please check this out: https://t.co/ngwnmNILIr
under ""In the Box""."
2036894,Face ID failed on me 4 times today just now. #FaceID #iPhoneX @AppleSupport just got the phone today.,@329366 We want to look into this with you. DM us what iOS version you're on and any other details. We'll continue with you there. https://t.co/GDrqU22YpT,device_functionality_issue,0.3492,0.3468,7,ESCALATE,Device-specific troubleshooting required,@802851 We can assist you. We recommend the steps in this guide: https://t.co/V5aWSz5xXV Let us know if the issue persists for you.
149980,"@AppleSupport My phone is stuck on restart screen, please help :(","@150190 Having your phone work great is our goal and we're happy to help. To make sure we've got it correct, the phone is showing the Apple Logo correct? DM us that information and we'll get to work sorting this out. https://t.co/GDrqU22YpT",performance_freezing,0.96,1.0,5,ESCALATE,Device-specific troubleshooting required,"@150190 Having your phone work great is our goal and we're happy to help. To make sure we've got it correct, the phone is showing the Apple Logo correct? DM us that information and we'll get to work sorting this out. https://t.co/GDrqU22YpT"
2492302,"@AppleSupport Latest release. I6s+. And it will until the next update when you'll knacker it again. It's you lot, it's not me.....","@213849 Thanks for that info. Let's have you reach out to us in DM and let us know what country you're located in. Also, please send us the exact iOS version that you're running. We look forward to talking with you soon. https://t.co/GDrqU22YpT",software_update_issue,0.8095,0.4615,9,AUTO-HANDLE,High-confidence historical match,"@266446 Thank you! When you restart, does that resolve the problem? Are you connected to Wi-Fi, or using Cellular data?"
1932245,This new @115858 update is killing my battery. How do I reverse it? Or do I just have to buy a Samsung?,@575006 We don't like to hear your battery is having trouble. Let's chat over in Direct Message and look into this. https://t.co/GDrqU22YpT,battery_issue,0.7281,1.0,18,AUTO-HANDLE,High-confidence historical match,@575006 We don't like to hear your battery is having trouble. Let's chat over in Direct Message and look into this. https://t.co/GDrqU22YpT
1938564,@AppleSupport when are you ever going to fix ios 11?? I have a list of things that’s been going on with my phone ever since.,@576669 We know your iPhone performance is important. Let’s see how we can help. DM us which iPhone you have to begin. https://t.co/GDrqU2kzhr,software_update_issue,0.7725,0.4383,2,AUTO-HANDLE,High-confidence historical match,@402427 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
1954440,That’s the fifth time I’ve had to restart my phone because it keeps freezing. Wish I never updated to iOS11 @AppleSupport,@130264 We'd love to help with any issues you're seeing. Let us know which iPhone model you've got and the exact version of iOS 11.,performance_freezing,0.8674,0.2746,7,ESCALATE,Device-specific troubleshooting required,"@154901  We can see that if any item in use stops working when you need it, it can cause concerns. If this behavior is happening on our devices, we want to get it solved. Can you let us know which iPhone and iOS version under Settings &gt; General &gt; About? Let us know in DM! https://t.co/GDrqU22YpT"
1814897,My iPhone 7 has been straight trash since the iOS 11 update @AppleSupport,@545200 What issues have you noticed with your iPhone since updating? Let's work together to sort this out via DM: https://t.co/GDrqU22YpT,software_update_issue,0.9932,0.5429,15,AUTO-HANDLE,High-confidence historical match,@509130 We're eager to get details on what you're experiencing with your iPhone so we can get to the bottom of the issues. Which iOS 11 version are we working with? You'll find that in Settings &gt; General &gt; About.
2095329,@AppleSupport Im using my macbook pro and accidently my phone fall on my trackpad now is not displaying it just blink 3 times,@619019 We'd like to look into finding you a resolution. Please meet up with us in DM so we may better assist you. https://t.co/GDrqU2kzhr,performance_freezing,0.1939,0.2528,3,ESCALATE,Device-specific troubleshooting required,@229920 We'd like to hear more about what's going on with your Mac. Are you experiencing issues with any apps in particular?
1655551,Soooo @AppleSupport are y’all going to get this “I️” stuff fixed or what 🙄,@505233 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,information_or_how_to,0.4013,1.0,14,ESCALATE,Low intent confidence,@505233 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1674679,"@AppleSupport I keep getting this message popping out every time I unlock my iPhone 7 Plus, Build no 11.2 (15C5092B). Pls help. https://t.co/mLEzhxYLeW",@509536 Send us a DM and we'll provide additional guidance there. https://t.co/GDrqU22YpT,performance_freezing,0.1658,1.0,2,ESCALATE,Device-specific troubleshooting required,@509536 Send us a DM and we'll provide additional guidance there. https://t.co/GDrqU22YpT
1565179,@115858 @AppleSupport please can you fix an annoying issue with SMS. It wasn’t in the previous iOS versions,@483208 We're here to help. Can you tell us more about the issue you're experinceing? https://t.co/GDrqU22YpT,general_support,0.374,1.0,13,ESCALATE,Intent is too broad or unclear,@483208 We're here to help. Can you tell us more about the issue you're experinceing? https://t.co/GDrqU22YpT
2853816,gettin real tired of my phone crashing and losing service for no reason @115858,@793336 We'd like to look into this with you. What is your current iOS version? You can find it at Settings &gt; General &gt; About.,performance_freezing,0.348,0.3374,1,ESCALATE,Device-specific troubleshooting required,"@250294 We've got steps to solve that restart issue on your iPhone. Let's start by backing up your iPhone with these steps: https://t.co/4f8hwT5to6, then use these steps to update to iOS 11.2: https://t.co/osZOKKTalm Let us know in DM if those don't help. https://t.co/GDrqU22YpT"
612873,@AppleSupport it still doesn’t work smh,@644978 Hi there. DM us and we can take a closer look. https://t.co/GDrqU22YpT,general_support,0.3303,0.8499,18,ESCALATE,Intent is too broad or unclear,@532490 DM us and we'll see what we can do to assist further. https://t.co/GDrqU22YpT
845839,@321041 @115858 Seriously battery is draining like anything. I have to top us the phone after 2 hours daily  &amp; it’s really annoying 😢😓,@560353 Let's take a look at this together. Have you already updated to iOS 11.0.3? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,battery_issue,0.8094,0.3127,17,ESCALATE,Low historical similarity,@124885 We can help with your battery issue. Send us a DM to continue. https://t.co/GDrqU22YpT
